MSR_ID;MSR_NME;MSR_NMF
304.00000;1 waffle (10.2cm dia);1 gaufre (10.2cm dia)
305.00000;1 waffle (17.8cm dia);1 gaufre (17.8cm dia)
306.00000;1 wiener;1 saucisse hot dog
307.00000;1 wing;1 aile
308.00000;1 yam (21cm x 6.3cm dia);1 igname (21cm x 6.3cm dia)
309.00000;1 oz whiskey;1 once whiskey
310.00000;1.5 oz whiskey;1.5 once whiskey
311.00000;1/10 cake (300g);1/10 gâteau (300g)
312.00000;1/10 fruit (20cm x 5cm dia);1/10 fruit (20cm x 5cm dia)
313.00000;1/12 cake (23cm dia);1/12 gâteau (23cm dia)
314.00000;1/12 cake (454g);1/12 gâteau (454g)
315.00000;1/2 back;1/2 dos
316.00000;1/2 bird;1/2 volaille
317.00000;1/2 breast;1/2 poitrine
318.00000;1/2 foot;1/2 pied
319.00000;1/2 fruit (13cm dia);1/2 fruit (13cm dia)
320.00000;1/2 fruit (9.5cm dia);1/2 fruit (9.5cm dia)
321.00000;1 leg and back;1 cuisse et dos
322.00000;1/4 small fruit;1/4 petit fruit
323.00000;1/5 head;1/5 tête
324.00000;1/6 (17.8cm dia);1/6 (17.8cm dia)
325.00000;1/6 cake (20cm dia);1/6 gâteau (20cm dia)
326.00000;1/6 cake (482g);1/6 gâteau (482g)
327.00000;1/6 pie (20cm dia);1/6 tarte (20cm dia)
328.00000;1/8 pie (23cm dia);1/8 tarte (23cm dia)
329.00000;1/8 ring (425g);1/8 rondelle (425g)
331.00000;1/9 cake (567g);1/9 gâteau (567g)
332.00000;10 chips;10  croustilles
333.00000;10 fruits;10 fruits
334.00000;10 halves;10 moities
335.00000;10 nuggets;10 croquettes
336.00000;10 pieces;10 morceaux
337.00000;10 rings;10 rondelles
338.00000;10 slices (0.6cm x 6.3cm dia);10 tranches (0.6cm x 6.3cm dia)
339.00000;10 strips;10 frites
340.00000;10 twists;10 torsades
341.00000;100ml;100ml
342.00000;100ml chips;100ml brisures
343.00000;100ml chopped;100ml haché
344.00000;100ml crumbled;100ml émietté
345.00000;100ml crumbs;100ml miettes
346.00000;100ml crushed;100ml écrasé
347.00000;100ml cubes;100ml en cubes
348.00000;100ml diced;100ml en dés
