MSR_ID;MSR_NME;MSR_NMF
6.00000;1 fish (500 g);1 poisson (500 g)
7.00000;1 lobster (900 g);1 homard (900 g)
8.00000;1 abalone;1 ormeau
9.00000;1 anchovy;1 anchois
11.00000;1 balsam-pear;1 margose
12.00000;1 bar;1 barre
13.00000;1 bar (75 ml);1 barre (75 ml)
14.00000;1 beet (5 cm dia);1 betterave (5 cm dia)
15.00000;1 biscuit;1 biscuit pour le thé  (poudre à pâte)
16.00000;1 biscuit ( 2.5 cm x 5.7 cm dia);1 biscuit (2.5 cm x 5.7 cm dia)
17.00000;1 biscuit (1 cm x 9 cm dia);1 biscuit (1 cm x 9 cm dia)
20.00000;1 biscuit (2.5 cm x 6.4 cm dia);1 biscuit (2.5 cm x 6.4 cm dia)
23.00000;1 block;1 bloc
24.00000;1 box;1 boîte
25.00000;1 braided loaf;1 pain tressé
26.00000;1 bulb;1 bulbe
27.00000;1 burger;1 hambourgeois
28.00000;1 cake;1 gâteau
29.00000;1 cake (2 layer, 20 cm dia);1 gâteau (2 étages, 20 cm dia)
30.00000;1 cake (2 layer, 23 cm dia);1 gâteau (2 étages, 23 cm dia)
31.00000;1 cake (20 cm x 20 cm);1 gâteau (20 cm x 20 cm)
34.00000;1 cake (25.4 cm dia tube);1 gâteau (25,4 cm dia tube)
36.00000;1 cake (5 cm x 20 cm dia);1 gâteau (5 cm x 20 cm dia)
37.00000;1 can;1 cannette / boîte de conserve
38.00000;1 can (284 ml);1 cannette (284 ml)
39.00000;1 can (355 ml);1 cannette (355 ml)
40.00000;1 can diluted;1 cannette/boîte diluée
42.00000;1 cheesefurter;1 saucisse au fromage
43.00000;1 chestnut;1 marron
44.00000;1 chimichanga;1 chimichanga
45.00000;1 chop;1 côtelette
46.00000;1 chop (113 g);1 côtelette (113 g)
47.00000;1 chop (151 g);1 côtelette (151 g)
48.00000;1 cone;1 cornet
49.00000;1 cookie;1 biscuit
50.00000;1 cookie (0.9 cm x 5.1 cm dia);1 biscuit (0,9 cm x 5,1 cm dia)
51.00000;1 cookie (0.9 cm x 7.6 cm dia);1 biscuit (0,9 cm x 7,6 cm dia)
52.00000;1 cookie (1.9 cm x 7.6 cm dia);1 biscuit (1,9 cm x 7,6 cm dia)
53.00000;1 cookie (4.1 cm x 4.1 cm);1 biscuit (4,1 cm x 4,1 cm)
54.00000;1 cookie (5.1 cm dia);1 biscuit (5,1 cm dia)
55.00000;1 cookie (5.1 cm x 5.1 cm);1 biscuit (5,1 cm x 5,1 cm)
56.00000;1 cookie (5.7 cm dia);1 biscuit (5,7 cm dia)
58.00000;1 cookie (6.3 cm dia);1 biscuit (6,3 cm dia)
59.00000;1 cookie (6.7 cm dia);1 biscuit (6.7 cm dia)
60.00000;1 cookie (7 cm dia);1 biscuit (7 cm dia)
61.00000;1 cookie (7 cm x 2.2 cm);1 biscuit (7 cm x 2,2 cm)
62.00000;1 cookie (7.6 cm dia);1 biscuit (7,6 cm dia)
63.00000;1 cookie (7.9 cm x 3.2 cm x 0.9 cm);1 biscuit (7,9 cm x 3,2 cm x 0,9 cm)
64.00000;1 biscuit (3.5 cm x 8.3 cm);1 biscuit (3,5 cm x 8,3 cm)
65.00000;1 cookie (8.9 cm x 2.5 cm x 1.3 cm);1 biscuit (8,9 cm x 2,5 cm x 1,3 cm)
66.00000;1 cookie (8.9-10.2 cm dia);1 biscuit (8,9-10,2 cm dia)
67.00000;1 corm (2.5 cm dia);1 bulbe (2,5 cm dia)
68.00000;1 corm (8.9 cm dia);1 bulbe (8,9 cm dia)
70.00000;1 crab (150 g);1 crabe (150 g)
71.00000;1 crab (700 g);1 crabe (700 g)
72.00000;1 cracker;1 craquelin
73.00000;1 crayfish;1 écrevisse
74.00000;1 cream puff (8.9 cm dia);1 chou (8,9 cm dia)
75.00000;1 croissant;1 croissant
76.00000;1 crust (23 cm dia);1 croûte (23 cm dia)
77.00000;1 cube (10.5g);1 cube (10,5 g)
79.00000;1 doughnut (10,2 cm dia);1 beigne (10,2 cm dia)
80.00000;1 doughnut (11.4 cm x 8.9 cm, oval);1 beigne (11,4 cm x 8,9 cm, ovale)
81.00000;1 doughnut (7.6 cm dia);1 beigne (7,6 cm dia)
82.00000;1 doughnut (8.9 cm dia);1 beigne (8,9 cm dia)
83.00000;1 doughnut (8.9 cm x 6.3 cm, oval);1 beigne (8.9cm x 6.3 cm, ovale
84.00000;1 doughnut (9.5cm dia);1 beigne (9.5cm dia)
85.00000;1 drink box (250ml);1 boîte (250ml)
86.00000;1 drumstick;1 pilon
88.00000;1 ear;1 épi
89.00000;1 eclair (12.7cm x 5cm x 4.4cm);1 éclair (12.7cm x 5cm x 4.4cm)
90.00000;1 egg;1 oeuf
91.00000;1 egg (60ml);1 oeuf (60ml)
92.00000;1 eggplant peeled;1 aubergine pelée
93.00000;1 enchilada;1 enchilada
94.00000;1 enchirito;1 enchirito
95.00000;1 envelope;1 enveloppe
96.00000;1 envelope (8 per 127g);1 enveloppe (8 per 127g)
97.00000;1 fillet;1 filet
98.00000;1 fillet (11 cm x 5 cm x 0.6 cm);1 filet (11 cm x 5 cm x 0.6 cm)
99.00000;1 fish (1100g);1 poisson (1100g)
100.00000;1 fish (1300g);1 poisson (1300g)
101.00000;1 fish (1800g);1 poisson (1800g)
102.00000;1 fish (2200g);1 poisson (2200g)
103.00000;1 fish (225g);1 poisson (225g)
104.00000;1 fish (3000g);1 poisson (3000g)
105.00000;1 fish (350g);1 poisson (350g)
106.00000;1 fish (700g);1 poisson (700g)
107.00000;1 fish (900g);1 poisson (900g)
108.00000;1 fritter;1 beignet
110.00000;1 fruit;1 fruit
112.00000;1 fruit (14 cm dia);1 fruit (14 cm dia)
113.00000;1 fruit (14.6 cm x 7.3 cm x 6 cm);1 fruit (14.6 cm x 7.3 cm x 6 cm)
114.00000;1 fruit (22 cm x 3.6 cm dia);1 fruit (22 cm x 3.6 cm dia)
115.00000;1 fruit (5 cm dia);1 fruit (5 cm dia)
117.00000;1 fruit (6.4 cm dia);1 fruit (6.4 cm dia)
118.00000;1 fruit (6.4 cm x 7.6 cm dia);1 fruit (6.4 cm x 7.6 cm dia)
119.00000;1 fruit (6.7 cm dia);1 fruit (6.7 cm dia)
120.00000;1 fruit (6.8 cm dia);1 fruit (6.8 cm dia)
122.00000;1 fruit (7.3 cm dia);1 fruit (7.3 cm dia)
123.00000;1 fruit (8.3 cm x 7.3 cm dia);1 fruit (8.3 cm x 7.3 cm dia)
124.00000;1 fruit (8.5 cm x 7.6 cm dia);1 fruit (8.5 cm x 7.6 cm dia)
125.00000;1 fruit (8.9 cm x 6.4 cm dia);1 fruit (8.9 cm x 6.4 cm dia)
127.00000;1 fruit (9.5 cm x 8.6 cm dia);1 fruit (9.5 cm x 8.6 cm dia)
128.00000;1 gizzard;1 gésier
129.00000;1 gourd;1 gourde
130.00000;1 gourd (33.7 cm x 4.4 cm dia);1 gourde (33.7 cm x 4.4 cm dia)
131.00000;1 head;1 tête
134.00000;1 heart;1 coeur
135.00000;1 hotdog;1 hot-dog
136.00000;1 hushpuppy (5.7 cm x 3.2 cm);1 galette hush puppy (5.7 cm x 3.2 cm)
137.00000;1 ice cube;1 glaçon
138.00000;1 kidney;1 rognon
139.00000;1 large;1 gros
140.00000;1 large (30-40);1 gros (30-40)
141.00000;1 large clam;1 grosse mye
142.00000;1 large egg;1 gros oeuf
143.00000;1 large fruit;1 gros fruit
144.00000;1 large fruit (6 cm dia);1 gros fruit (6 cm dia)
145.00000;1 large link;1 grosse saucisse en chapelet
146.00000;1 large patty;1 grosse boulette
148.00000;1 leaf;1 feuille
149.00000;1 leek;1 poireau
150.00000;1 leg;1 cuisse
152.00000;1 link;1 saucisson
153.00000;1 link (10 cm x 3 cm dia);1 saucisse (10 cm x 3 cm dia)
154.00000;1 link (26 cm x 3.5 cm dia);1 saucisson (26 cm x 3.5 cm dia)
155.00000;1 liver;1 foie
158.00000;1 loaf (23 cm x 12.7 cm x 7.6 cm);1 pain (23 cm x 12.7 cm x 7.6 cm)
159.00000;1 lobster (700g);1 homard (700g)
